ရောဂါအမည်,ရောဂါလက္ခဏာ_၁,ရောဂါလက္ခဏာ_၂,ရောဂါလက္ခဏာ_၃,ရောဂါလက္ခဏာ_၄,ရောဂါလက္ခဏာ_၅,ရောဂါလက္ခဏာ_၆,ရောဂါလက္ခဏာ_၇,ရောဂါလက္ခဏာ_၈,ရောဂါလက္ခဏာ_၉,ရောဂါလက္ခဏာ_၁၀,ရောဂါလက္ခဏာ_၁၁,ရောဂါလက္ခဏာ_၁၂,ရောဂါလက္ခဏာ_၁၃,ရောဂါလက္ခဏာ_၁၄,ရောဂါလက္ခဏာ_၁၅,ရောဂါလက္ခဏာ_၁၆,ရောဂါလက္ခဏာ_၁၇
ရေကျောက်ရောဂါ,အရေပြား အဖုအပိန့်ထ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အဖျားကြီး,ခေါင်းကိုက်,ခံတွင်းပျက်/အဆာမပြေ,အဖျားငွေ့ငွေ့ရှိ,ပြန်ရည်ကျင်းများ ရောင်,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,,,,
ရေကျောက်ရောဂါ,ယားယံ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အဖျားကြီး,ခေါင်းကိုက်,ခံတွင်းပျက်/အဆာမပြေ,အဖျားငွေ့ငွေ့ရှိ,ပြန်ရည်ကျင်းများ ရောင်,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,,,,
ရေကျောက်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,အားအင်ကုန်ခန်း/နုံးခွေ,အဖျားကြီး,ခေါင်းကိုက်,ခံတွင်းပျက်/အဆာမပြေ,အဖျားငွေ့ငွေ့ရှိ,ပြန်ရည်ကျင်းများ ရောင်,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,,,,
ရေကျောက်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ခံတွင်းပျက်/အဆာမပြေ,အဖျားငွေ့ငွေ့ရှိ,ပြန်ရည်ကျင်းများ ရောင်,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,,,,
ရေကျောက်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,ခေါင်းကိုက်,ခံတွင်းပျက်/အဆာမပြေ,အဖျားငွေ့ငွေ့ရှိ,ပြန်ရည်ကျင်းများ ရောင်,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,,,,
ရေကျောက်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အဖျားကြီး,ခံတွင်းပျက်/အဆာမပြေ,အဖျားငွေ့ငွေ့ရှိ,ပြန်ရည်ကျင်းများ ရောင်,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,,,,
ရေကျောက်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အဖျားကြီး,ခေါင်းကိုက်,အဖျားငွေ့ငွေ့ရှိ,ပြန်ရည်ကျင်းများ ရောင်,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,,,,
ရေကျောက်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အဖျားကြီး,ခေါင်းကိုက်,ခံတွင်းပျက်/အဆာမပြေ,ပြန်ရည်ကျင်းများ ရောင်,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,,,,
ရေကျောက်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အဖျားကြီး,ခေါင်းကိုက်,ခံတွင်းပျက်/အဆာမပြေ,အဖျားငွေ့ငွေ့ရှိ,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,,,,
သွေးလွန်တုပ်ကွေးရောဂါ,အရေပြား အဖုအပိန့်ထ,ချမ်းစိမ့်,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးအနောက်ဘက် ကိုက်ခဲ,ခါးနာ,ကြွက်သားနာ,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,
သွေးလွန်တုပ်ကွေးရောဂါ,အရေပြား အဖုအပိန့်ထ,ချမ်းစိမ့်,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးအနောက်ဘက် ကိုက်ခဲ,ခါးနာ,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,
သွေးလွန်တုပ်ကွေးရောဂါ,အရေပြား အဖုအပိန့်ထ,ချမ်းစိမ့်,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးအနောက်ဘက် ကိုက်ခဲ,ခါးနာ,ကိုယ်လက်မအီမသာဖြစ်,ကြွက်သားနာ,,,,
သွေးလွန်တုပ်ကွေးရောဂါ,အရေပြား အဖုအပိန့်ထ,ချမ်းစိမ့်,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးအနောက်ဘက် ကိုက်ခဲ,ခါးနာ,ကိုယ်လက်မအီမသာဖြစ်,ကြွက်သားနာ,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,
သွေးလွန်တုပ်ကွေးရောဂါ,ချမ်းစိမ့်,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးအနောက်ဘက် ကိုက်ခဲ,ခါးနာ,ကိုယ်လက်မအီမသာဖြစ်,ကြွက်သားနာ,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,
သွေးလွန်တုပ်ကွေးရောဂါ,အရေပြား အဖုအပိန့်ထ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးအနောက်ဘက် ကိုက်ခဲ,ခါးနာ,ကိုယ်လက်မအီမသာဖြစ်,ကြွက်သားနာ,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,
သွေးလွန်တုပ်ကွေးရောဂါ,အရေပြား အဖုအပိန့်ထ,ချမ်းစိမ့်,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးအနောက်ဘက် ကိုက်ခဲ,ခါးနာ,ကိုယ်လက်မအီမသာဖြစ်,ကြွက်သားနာ,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,
သွေးလွန်တုပ်ကွေးရောဂါ,အရေပြား အဖုအပိန့်ထ,ချမ်းစိမ့်,အဆစ်အမြစ်နာ,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးအနောက်ဘက် ကိုက်ခဲ,ခါးနာ,ကိုယ်လက်မအီမသာဖြစ်,ကြွက်သားနာ,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,
သွေးလွန်တုပ်ကွေးရောဂါ,အရေပြား အဖုအပိန့်ထ,ချမ်းစိမ့်,အဆစ်အမြစ်နာ,အန်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးအနောက်ဘက် ကိုက်ခဲ,ခါးနာ,ကိုယ်လက်မအီမသာဖြစ်,ကြွက်သားနာ,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,
သွေးလွန်တုပ်ကွေးရောဂါ,အရေပြား အဖုအပိန့်ထ,ချမ်းစိမ့်,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,ခေါင်းကိုက်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးအနောက်ဘက် ကိုက်ခဲ,ခါးနာ,ကိုယ်လက်မအီမသာဖြစ်,ကြွက်သားနာ,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,
တိုင်ဖွိုက် အဖျားရောဂါ,ချမ်းစိမ့်,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ပျို့အန်ချင်,ဝမ်းချုပ်,ဗိုက်နာ,ဝမ်းလျှော,မှိုင်တွေနုံးခွေ (Typhoid ရောဂါလက္ခဏာ),ဝမ်းဗိုက်နာ,,,,,,,
တိုင်ဖွိုက် အဖျားရောဂါ,ချမ်းစိမ့်,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ဝမ်းချုပ်,ဗိုက်နာ,ဝမ်းလျှော,မှိုင်တွေနုံးခွေ (Typhoid ရောဂါလက္ခဏာ),ဝမ်းဗိုက်နာ,,,,,,,
တိုင်ဖွိုက် အဖျားရောဂါ,ချမ်းစိမ့်,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ဗိုက်နာ,ဝမ်းလျှော,မှိုင်တွေနုံးခွေ (Typhoid ရောဂါလက္ခဏာ),ဝမ်းဗိုက်နာ,,,,,,,
တိုင်ဖွိုက် အဖျားရောဂါ,ချမ်းစိမ့်,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းချုပ်,ဝမ်းလျှော,မှိုင်တွေနုံးခွေ (Typhoid ရောဂါလက္ခဏာ),ဝမ်းဗိုက်နာ,,,,,,,
တိုင်ဖွိုက် အဖျားရောဂါ,ချမ်းစိမ့်,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းချုပ်,ဗိုက်နာ,မှိုင်တွေနုံးခွေ (Typhoid ရောဂါလက္ခဏာ),ဝမ်းဗိုက်နာ,,,,,,,
တိုင်ဖွိုက် အဖျားရောဂါ,ချမ်းစိမ့်,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းချုပ်,ဗိုက်နာ,ဝမ်းလျှော,ဝမ်းဗိုက်နာ,,,,,,,
တိုင်ဖွိုက် အဖျားရောဂါ,ချမ်းစိမ့်,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းချုပ်,ဗိုက်နာ,ဝမ်းလျှော,မှိုင်တွေနုံးခွေ (Typhoid ရောဂါလက္ခဏာ),,,,,,,
တိုင်ဖွိုက် အဖျားရောဂါ,ချမ်းစိမ့်,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းချုပ်,ဗိုက်နာ,ဝမ်းလျှော,မှိုင်တွေနုံးခွေ (Typhoid ရောဂါလက္ခဏာ),ဝမ်းဗိုက်နာ,,,,,,
တိုင်ဖွိုက် အဖျားရောဂါ,ချမ်းစိမ့်,မောပန်းနွမ်းနယ်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းချုပ်,ဗိုက်နာ,ဝမ်းလျှော,မှိုင်တွေနုံးခွေ (Typhoid ရောဂါလက္ခဏာ),ဝမ်းဗိုက်နာ,,,,,,,
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဝမ်းလျှော,အဖျားငွေ့ငွေ့ရှိ,မျက်လုံးဝါ,ကြွက်သားနာ,,,,,,
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,အန်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဝမ်းလျှော,အဖျားငွေ့ငွေ့ရှိ,မျက်လုံးဝါ,ကြွက်သားနာ,,,,,,,
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,အဆစ်အမြစ်နာ,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဝမ်းလျှော,အဖျားငွေ့ငွေ့ရှိ,မျက်လုံးဝါ,ကြွက်သားနာ,,,,,,,
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဝမ်းလျှော,အဖျားငွေ့ငွေ့ရှိ,မျက်လုံးဝါ,ကြွက်သားနာ,,,,,,,
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဝမ်းလျှော,အဖျားငွေ့ငွေ့ရှိ,မျက်လုံးဝါ,ကြွက်သားနာ,,,,,,,
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,အသားဝါ,ဆီးအရောင်ရင့်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဝမ်းလျှော,အဖျားငွေ့ငွေ့ရှိ,မျက်လုံးဝါ,ကြွက်သားနာ,,,,,,,
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ဗိုက်နာ,ဝမ်းလျှော,အဖျားငွေ့ငွေ့ရှိ,မျက်လုံးဝါ,ကြွက်သားနာ,,,,,,,
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဝမ်းလျှော,အဖျားငွေ့ငွေ့ရှိ,မျက်လုံးဝါ,ကြွက်သားနာ,,,,,,,
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,အဖျားငွေ့ငွေ့ရှိ,မျက်လုံးဝါ,ကြွက်သားနာ,,,,,,,
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,ယားယံ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အသားဝါ,ဆီးအရောင်ရင့်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဆီးဝါ,မျက်လုံးဝါ,ကိုယ်လက်မအီမသာဖြစ်,သွေးသွင်းဖူးသည့် ရာဇဝင်ရှိ,မသန့်ရှင်းသော ဆေးထိုးအပ်အသုံးပြုဖူး,,,,,
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အသားဝါ,ဆီးအရောင်ရင့်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဆီးဝါ,မျက်လုံးဝါ,ကိုယ်လက်မအီမသာဖြစ်,သွေးသွင်းဖူးသည့် ရာဇဝင်ရှိ,မသန့်ရှင်းသော ဆေးထိုးအပ်အသုံးပြုဖူး,,,,,,
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,ယားယံ,အားအင်ကုန်ခန်း/နုံးခွေ,အသားဝါ,ဆီးအရောင်ရင့်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဆီးဝါ,မျက်လုံးဝါ,ကိုယ်လက်မအီမသာဖြစ်,သွေးသွင်းဖူးသည့် ရာဇဝင်ရှိ,မသန့်ရှင်းသော ဆေးထိုးအပ်အသုံးပြုဖူး,,,,,,
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,ယားယံ,မောပန်းနွမ်းနယ်,အသားဝါ,ဆီးအရောင်ရင့်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဆီးဝါ,မျက်လုံးဝါ,ကိုယ်လက်မအီမသာဖြစ်,သွေးသွင်းဖူးသည့် ရာဇဝင်ရှိ,မသန့်ရှင်းသော ဆေးထိုးအပ်အသုံးပြုဖူး,,,,,,
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,ယားယံ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,ဆီးအရောင်ရင့်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဆီးဝါ,မျက်လုံးဝါ,ကိုယ်လက်မအီမသာဖြစ်,သွေးသွင်းဖူးသည့် ရာဇဝင်ရှိ,မသန့်ရှင်းသော ဆေးထိုးအပ်အသုံးပြုဖူး,,,,,,
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,ယားယံ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အသားဝါ,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,ဆီးဝါ,မျက်လုံးဝါ,ကိုယ်လက်မအီမသာဖြစ်,သွေးသွင်းဖူးသည့် ရာဇဝင်ရှိ,မသန့်ရှင်းသော ဆေးထိုးအပ်အသုံးပြုဖူး,,,,,,
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,ယားယံ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အသားဝါ,ဆီးအရောင်ရင့်,ဗိုက်နာ,ဆီးဝါ,မျက်လုံးဝါ,ကိုယ်လက်မအီမသာဖြစ်,သွေးသွင်းဖူးသည့် ရာဇဝင်ရှိ,မသန့်ရှင်းသော ဆေးထိုးအပ်အသုံးပြုဖူး,,,,,,
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,ယားယံ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အသားဝါ,ဆီးအရောင်ရင့်,ခံတွင်းပျက်/အဆာမပြေ,ဆီးဝါ,မျက်လုံးဝါ,ကိုယ်လက်မအီမသာဖြစ်,သွေးသွင်းဖူးသည့် ရာဇဝင်ရှိ,မသန့်ရှင်းသော ဆေးထိုးအပ်အသုံးပြုဖူး,,,,,,
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,ယားယံ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အသားဝါ,ဆီးအရောင်ရင့်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,ကိုယ်လက်မအီမသာဖြစ်,သွေးသွင်းဖူးသည့် ရာဇဝင်ရှိ,မသန့်ရှင်းသော ဆေးထိုးအပ်အသုံးပြုဖူး,,,,,,
အသည်းရောင် အသားဝါ (စီ) ရောဂါ,မောပန်းနွမ်းနယ်,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မိသားစု ရောဂါရာဇဝင်ရှိ,,,,,,,,,,,,
အသည်းရောင် အသားဝါ (စီ) ရောဂါ,မောပန်းနွမ်းနယ်,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးဝါ,မိသားစု ရောဂါရာဇဝင်ရှိ,,,,,,,,,,,
အသည်းရောင် အသားဝါ (စီ) ရောဂါ,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးဝါ,မိသားစု ရောဂါရာဇဝင်ရှိ,,,,,,,,,,,,
အသည်းရောင် အသားဝါ (စီ) ရောဂါ,မောပန်းနွမ်းနယ်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးဝါ,မိသားစု ရောဂါရာဇဝင်ရှိ,,,,,,,,,,,,
အသည်းရောင် အသားဝါ (စီ) ရောဂါ,မောပန်းနွမ်းနယ်,အသားဝါ,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးဝါ,မိသားစု ရောဂါရာဇဝင်ရှိ,,,,,,,,,,,,
အသည်းရောင် အသားဝါ (စီ) ရောဂါ,မောပန်းနွမ်းနယ်,အသားဝါ,ပျို့အန်ချင်,မျက်လုံးဝါ,မိသားစု ရောဂါရာဇဝင်ရှိ,,,,,,,,,,,,
အသည်းရောင် အသားဝါ (စီ) ရောဂါ,မောပန်းနွမ်းနယ်,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးဝါ,,,,,,,,,,,,
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အန်,မောပန်းနွမ်းနယ်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အဆစ်အမြစ်နာ,မောပန်းနွမ်းနယ်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အသားဝါ,ဆီးအရောင်ရင့်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးဝါ,,,,,,,,,
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,,,,,,,,,
အသည်းရောင် အသားဝါ (အီး) ရောဂါ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,သတိလစ်မေ့မြော,အစာအိမ် သွေးယို,,,,,
အသည်းရောင် အသားဝါ (အီး) ရောဂါ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,ရုတ်တရက် အသည်းလုပ်ဆောင်ချက်ပျက်စီး,သတိလစ်မေ့မြော,အစာအိမ် သွေးယို,,,,
အသည်းရောင် အသားဝါ (အီး) ရောဂါ,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,ရုတ်တရက် အသည်းလုပ်ဆောင်ချက်ပျက်စီး,သတိလစ်မေ့မြော,အစာအိမ် သွေးယို,,,,,
အသည်းရောင် အသားဝါ (အီး) ရောဂါ,အဆစ်အမြစ်နာ,မောပန်းနွမ်းနယ်,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,ရုတ်တရက် အသည်းလုပ်ဆောင်ချက်ပျက်စီး,သတိလစ်မေ့မြော,အစာအိမ် သွေးယို,,,,,
အသည်းရောင် အသားဝါ (အီး) ရောဂါ,အဆစ်အမြစ်နာ,အန်,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,ရုတ်တရက် အသည်းလုပ်ဆောင်ချက်ပျက်စီး,သတိလစ်မေ့မြော,အစာအိမ် သွေးယို,,,,,
အသည်းရောင် အသားဝါ (အီး) ရောဂါ,အဆစ်အမြစ်နာ,အန်,မောပန်းနွမ်းနယ်,အသားဝါ,ဆီးအရောင်ရင့်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,ရုတ်တရက် အသည်းလုပ်ဆောင်ချက်ပျက်စီး,သတိလစ်မေ့မြော,အစာအိမ် သွေးယို,,,,,
